17:57:05.494 -> red=121370, ir=57144, HR=125, HRvalid=1, SPO2=-999, SPO2Valid=0
17:57:05.588 -> red=121097, ir=57009, HR=125, HRvalid=1, SPO2=-999, SPO2Valid=0
17:57:05.682 -> red=120109, ir=56005, HR=125, HRvalid=1, SPO2=-999, SPO2Valid=0
17:57:05.775 -> red=118855, ir=55728, HR=125, HRvalid=1, SPO2=-999, SPO2Valid=0
17:57:05.869 -> red=118717, ir=55691, HR=125, HRvalid=1, SPO2=-999, SPO2Valid=0
17:57:05.962 -> red=118846, ir=55723, HR=125, HRvalid=1, SPO2=-999, SPO2Valid=0
17:57:06.101 -> red=119145, ir=55768, HR=125, HRvalid=1, SPO2=-999, SPO2Valid=0
17:57:06.149 -> red=118992, ir=55627, HR=125, HRvalid=1, SPO2=-999, SPO2Valid=0
17:57:06.290 -> red=118897, ir=55793, HR=57, HRvalid=1, SPO2=67, SPO2Valid=1
17:57:06.385 -> red=119398, ir=56029, HR=57, HRvalid=1, SPO2=67, SPO2Valid=1
17:57:06.477 -> red=118866, ir=55619, HR=57, HRvalid=1, SPO2=67, SPO2Valid=1
17:57:06.572 -> red=118568, ir=55682, HR=57, HRvalid=1, SPO2=67, SPO2Valid=1
17:57:06.711 -> red=118935, ir=55950, HR=57, HRvalid=1, SPO2=67, SPO2Valid=1
17:57:06.758 -> red=118713, ir=55918, HR=57, HRvalid=1, SPO2=67, SPO2Valid=1
17:57:06.898 -> red=118134, ir=55677, HR=57, HRvalid=1, SPO2=67, SPO2Valid=1
17:57:06.992 -> red=117532, ir=55484, HR=57, HRvalid=1, SPO2=67, SPO2Valid=1
17:57:07.086 -> red=117374, ir=55561, HR=57, HRvalid=1, SPO2=67, SPO2Valid=1
17:57:07.180 -> red=118098, ir=55581, HR=57, HRvalid=1, SPO2=67, SPO2Valid=1
17:57:07.319 -> red=117669, ir=55672, HR=57, HRvalid=1, SPO2=67, SPO2Valid=1
17:57:07.367 -> red=117849, ir=55717, HR=57, HRvalid=1, SPO2=67, SPO2Valid=1
17:57:07.507 -> red=118128, ir=55864, HR=57, HRvalid=1, SPO2=67, SPO2Valid=1
17:57:07.600 -> red=117940, ir=55758, HR=57, HRvalid=1, SPO2=67, SPO2Valid=1
17:57:07.693 -> red=117925, ir=55793, HR=57, HRvalid=1, SPO2=67, SPO2Valid=1
17:57:07.786 -> red=118096, ir=55879, HR=57, HRvalid=1, SPO2=67, SPO2Valid=1
17:57:07.878 -> red=117998, ir=55795, HR=57, HRvalid=1, SPO2=67, SPO2Valid=1
17:57:07.972 -> red=117982, ir=55768, HR=57, HRvalid=1, SPO2=67, SPO2Valid=1
17:57:08.114 -> red=117803, ir=55661, HR=57, HRvalid=1, SPO2=67, SPO2Valid=1
17:57:08.161 -> red=117778, ir=55760, HR=57, HRvalid=1, SPO2=67, SPO2Valid=1
17:57:08.302 -> red=117937, ir=55849, HR=57, HRvalid=1, SPO2=67, SPO2Valid=1
17:57:08.396 -> red=117843, ir=55860, HR=57, HRvalid=1, SPO2=67, SPO2Valid=1
17:57:08.489 -> red=117801, ir=55884, HR=57, HRvalid=1, SPO2=67, SPO2Valid=1
17:57:08.582 -> red=117836, ir=55927, HR=57, HRvalid=1, SPO2=67, SPO2Valid=1
17:57:08.722 -> red=117860, ir=55895, HR=57, HRvalid=1, SPO2=67, SPO2Valid=1
17:57:08.769 -> red=117834, ir=55886, HR=83, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:08.909 -> red=117773, ir=55885, HR=83, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:09.003 -> red=117814, ir=55962, HR=83, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:09.097 -> red=117992, ir=55942, HR=83, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:09.190 -> red=117780, ir=55828, HR=83, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:09.284 -> red=117792, ir=55749, HR=83, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:09.377 -> red=117761, ir=55709, HR=83, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:09.516 -> red=117718, ir=55651, HR=83, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:09.609 -> red=117699, ir=55629, HR=83, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:09.703 -> red=117607, ir=55635, HR=83, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:09.796 -> red=117692, ir=55720, HR=83, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:09.890 -> red=117577, ir=55618, HR=83, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:09.985 -> red=117513, ir=55581, HR=83, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:10.124 -> red=117501, ir=55607, HR=83, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:10.172 -> red=117505, ir=55578, HR=83, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:10.313 -> red=117473, ir=55529, HR=83, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:10.409 -> red=117402, ir=55504, HR=83, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:10.503 -> red=117477, ir=55652, HR=83, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:10.596 -> red=117645, ir=55679, HR=83, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:10.690 -> red=117552, ir=55556, HR=83, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:10.783 -> red=117515, ir=55603, HR=83, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:10.927 -> red=117725, ir=55594, HR=83, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:10.975 -> red=117510, ir=55647, HR=83, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:11.116 -> red=117746, ir=55715, HR=83, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:11.208 -> red=117748, ir=55688, HR=83, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:11.301 -> red=117752, ir=55795, HR=187, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:11.397 -> red=117897, ir=55822, HR=187, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:11.537 -> red=117858, ir=55786, HR=187, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:11.583 -> red=117908, ir=55841, HR=187, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:11.723 -> red=117971, ir=55859, HR=187, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:11.817 -> red=117899, ir=55809, HR=187, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:11.910 -> red=117737, ir=55656, HR=187, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:12.003 -> red=117483, ir=55609, HR=187, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:12.142 -> red=117552, ir=55646, HR=187, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:12.189 -> red=117486, ir=55612, HR=187, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:12.329 -> red=117488, ir=55600, HR=187, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:12.422 -> red=117536, ir=55578, HR=187, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:12.515 -> red=117351, ir=55480, HR=187, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:12.609 -> red=117368, ir=55457, HR=187, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:12.703 -> red=117151, ir=55411, HR=187, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:12.796 -> red=117246, ir=55489, HR=187, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:12.938 -> red=117230, ir=55419, HR=187, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:12.984 -> red=117356, ir=55473, HR=187, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:13.126 -> red=117364, ir=55485, HR=187, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:13.219 -> red=117430, ir=55471, HR=187, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:13.313 -> red=117441, ir=55490, HR=187, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:13.407 -> red=117458, ir=55577, HR=187, HRvalid=1, SPO2=94, SPO2Valid=1
17:57:13.545 -> red=117700, ir=55724, HR=187, HRvalid=1, SPO2=94, SPO2Valid=1
